[0.008s][info][gc,heap] Heap region size: 1M
[0.012s][info][gc     ] Using G1
[0.012s][info][gc,heap,coops] Heap address: 0x0000000700c00000, size: 4084 MB, Compressed Oops mode: Zero based, Oop shift amount: 3
[0.029s][info][gc           ] Periodic GC disabled
[0.121s][info][gc,start     ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[0.122s][info][gc,task      ] GC(0) Using 6 workers of 8 for evacuation
[0.283s][info][gc,phases    ] GC(0)   Pre Evacuate Collection Set: 0.0ms
[0.283s][info][gc,phases    ] GC(0)   Evacuate Collection Set: 159.3ms
[0.283s][info][gc,phases    ] GC(0)   Post Evacuate Collection Set: 2.0ms
[0.283s][info][gc,phases    ] GC(0)   Other: 0.5ms
[0.283s][info][gc,heap      ] GC(0) Eden regions: 24->0(11)
[0.284s][info][gc,heap      ] GC(0) Survivor regions: 0->3(3)
[0.284s][info][gc,heap      ] GC(0) Old regions: 0->21
[0.284s][info][gc,heap      ] GC(0) Archive regions: 0->0
[0.284s][info][gc,heap      ] GC(0) Humongous regions: 0->0
[0.284s][info][gc,metaspace ] GC(0) Metaspace: 192K->192K(1056768K)
[0.284s][info][gc           ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 24M->23M(256M) 162.846ms
[0.284s][info][gc,cpu       ] GC(0) User=0.81s Sys=0.02s Real=0.16s
[0.322s][info][gc,start     ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[0.322s][info][gc,task      ] GC(1) Using 6 workers of 8 for evacuation
[0.360s][info][gc,phases    ] GC(1)   Pre Evacuate Collection Set: 0.0ms
[0.360s][info][gc,phases    ] GC(1)   Evacuate Collection Set: 35.9ms
[0.360s][info][gc,phases    ] GC(1)   Post Evacuate Collection Set: 1.5ms
[0.360s][info][gc,phases    ] GC(1)   Other: 0.2ms
[0.360s][info][gc,heap      ] GC(1) Eden regions: 11->0(10)
[0.360s][info][gc,heap      ] GC(1) Survivor regions: 3->2(2)
[0.360s][info][gc,heap      ] GC(1) Old regions: 21->31
[0.360s][info][gc,heap      ] GC(1) Archive regions: 0->0
[0.360s][info][gc,heap      ] GC(1) Humongous regions: 0->0
[0.360s][info][gc,metaspace ] GC(1) Metaspace: 203K->203K(1056768K)
[0.360s][info][gc           ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 34M->32M(256M) 37.726ms
[0.360s][info][gc,cpu       ] GC(1) User=0.19s Sys=0.00s Real=0.04s
[0.393s][info][gc,start     ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[0.393s][info][gc,task      ] GC(2) Using 6 workers of 8 for evacuation
[0.424s][info][gc,phases    ] GC(2)   Pre Evacuate Collection Set: 0.0ms
[0.424s][info][gc,phases    ] GC(2)   Evacuate Collection Set: 28.4ms
[0.424s][info][gc,phases    ] GC(2)   Post Evacuate Collection Set: 2.0ms
[0.424s][info][gc,phases    ] GC(2)   Other: 0.2ms
[0.424s][info][gc,heap      ] GC(2) Eden regions: 10->0(10)
[0.424s][info][gc,heap      ] GC(2) Survivor regions: 2->2(2)
[0.424s][info][gc,heap      ] GC(2) Old regions: 31->40
[0.424s][info][gc,heap      ] GC(2) Archive regions: 0->0
[0.424s][info][gc,heap      ] GC(2) Humongous regions: 0->0
[0.424s][info][gc,metaspace ] GC(2) Metaspace: 203K->203K(1056768K)
[0.424s][info][gc           ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 42M->41M(256M) 30.961ms
[0.424s][info][gc,cpu       ] GC(2) User=0.19s Sys=0.00s Real=0.03s
[0.455s][info][gc,start     ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[0.455s][info][gc,task      ] GC(3) Using 6 workers of 8 for evacuation
